Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0063350,2014-07-16,2014-07-16,,Night of the Living Dead,https://www.imdb.com/title/tt0063350/,movie,7.8,96,1968,"Horror, Thriller",134272,1968-10-01,George A. Romero
2,tt0054215,2014-07-16,2014-07-16,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",694872,1960-06-16,Alfred Hitchcock
3,tt0054988,2014-07-16,2014-07-16,,Homicidal,https://www.imdb.com/title/tt0054988/,movie,6.8,88,1961,"Horror, Mystery, Thriller",3444,1961-06-09,William Castle
4,tt0054067,2014-07-16,2014-07-16,,La maschera del demonio,https://www.imdb.com/title/tt0054067/,movie,7.1,87,1960,Horror,16770,1960-08-12,Mario Bava
5,tt0056368,2014-07-16,2014-07-16,,The Premature Burial,https://www.imdb.com/title/tt0056368/,movie,6.5,81,1962,"Drama, Horror, Mystery, Thriller",4496,1962-03-07,Roger Corman
6,tt0021884,2014-07-16,2014-07-16,,Frankenstein,https://www.imdb.com/title/tt0021884/,movie,7.8,70,1931,"Drama, Horror, Sci-Fi, Thriller",76260,1931-11-19,James Whale
7,tt0023293,2014-07-16,2014-07-16,,The Old Dark House,https://www.imdb.com/title/tt0023293/,movie,7.0,72,1932,"Adventure, Comedy, Drama, Horror, Thriller",12148,1932-10-19,James Whale
8,tt0024184,2014-07-16,2014-07-16,,The Invisible Man,https://www.imdb.com/title/tt0024184/,movie,7.6,71,1933,"Horror, Sci-Fi",37863,1933-10-31,James Whale
9,tt0026138,2014-07-16,2014-07-16,,Bride of Frankenstein,https://www.imdb.com/title/tt0026138/,movie,7.8,75,1935,"Drama, Horror, Sci-Fi",50920,1935-04-19,James Whale
10,tt0056869,2014-07-16,2014-07-16,,The Birds,https://www.imdb.com/title/tt0056869/,movie,7.6,119,1963,"Drama, Horror, Mystery, Romance",197921,1963-03-28,Alfred Hitchcock
11,tt0053454,2014-07-16,2014-07-16,,"The World, the Flesh and the Devil",https://www.imdb.com/title/tt0053454/,movie,6.8,95,1959,"Drama, Romance, Sci-Fi",3344,1959-04-23,Ranald MacDougall
12,tt0074156,2014-07-16,2014-07-16,,Assault on Precinct 13,https://www.imdb.com/title/tt0074156/,movie,7.3,91,1976,"Action, Crime, Thriller",53371,1976-10-08,John Carpenter
